name,url,price,sku,rating,review_count,country,local_region,category,process,variety,altitude,harvest,certifications,organic,fair_trade,rainforest_alliance,decaffeinated,cupping_notes,attr_brightness,attr_body,attr_aroma,attr_complexity,attr_balance,attr_sweetness,flavor_spicy,flavor_chocolaty,flavor_nutty,flavor_buttery,flavor_fruity,flavor_flowery,flavor_winey,flavor_earthy,description,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Bali: Kintamani Highlands,https://www.coffeebeancorral.com/product/Bali-Kintamani-Kintamani-Highlands-Copy__BALIKINTOR-COPY.aspx,$10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bali: Organic Blue Moon, Kintamani Highlands",https://www.coffeebeancorral.com/product/Bali-Organic-Blue-Moon__BALIBEANS.aspx,$12.05,BALIBEANS,4.5,,Bali,Bali North,Organic,Wet Hulled,"Blue Bourbon, Typica","1,100 - 1,500 masl",April - June,Organic,Yes,No,No,No,"Smooth and syrupy body with notes of baker's chocolate, cedar, molasses, and vanilla.",4,5,3,5,4,6,3,4,1,1,2,2,1,1,"A home roaster’s secret and a hidden jewel, our Bali Blue Moon’s birthplace has been heavily regulated by the Indonesian island’s government since the 1970s, which is a bittersweet situation––on the one hand, farmers may have less individual control over their crop. However, it also means the quality, handling, and processing are consistently excellent. Moreover, Bali experiences significant social, economic, agricultural, and technological enhancement because of this regulation. No matter what viewpoint you have, it can’t be denied that this complex bean is of high quality. 

Cupping Notes: Smooth and syrupy body with  Smooth and syrupy body with notes of baker's chocolate, cedar, molasses, and vanilla.

Try before you stock up with a 1/2 pound sample!",,,,,,,
"Brazil: Fazenda Bela Vista, Sul de Minas",https://www.coffeebeancorral.com/product/Brazil-Bela-Vista-Washed__BRAVISTAWASH.aspx,$9.45,BRAVISTAWASH,4.5,,Brazil,Minas Gerais – Nepomuceno Town,Conventional,Washed,Yellow Bourbon,"900 - 1,300 masl",May - September,,No,No,No,No,"Fazenda Bela Vista Washed Yellow Bourbon has notes of red fruit, mild acidity, and a creamy body.",3,5,4,5,5,5,1,1,1,3,4,1,1,1,"Bela Vista Farm: Excellence in South Minas Coffee


Situated in the south of Minas, Bela Vista farm thrives in a distinctive micro-region known for producing exceptional highland coffee. This family-owned, traditional estate combines time-honored knowledge with cutting-edge agricultural techniques to achieve a consistent and recognizably high-quality coffee. The farm uses rigerous cultivation practices while maintaining complete traceability throughout the production process.


Beyond coffee production, Bela Vista demonstrates its community commitment by funding a primary school serving both workers' children and the surrounding rural community.
 

Cupping Notes: Fazenda Bela Vista Washed Yellow Bourbon has notes of red fruit, mild acidity, and a creamy body.
 
Try before you stock up with a 1/2lb sample!!",,,,,,,
"Brazil: Oberon, Cerrado",https://www.coffeebeancorral.com/product/MGC-BRAOBERON.aspx,$9.35,BRAOBERON,5.0,,Brazil,Cerrado,Conventional,Natural,"Mundo Novo, Catuaí and Bourbon","900 - 1,250 masl",May - September,,No,No,No,No,"a creamy body, sweet chocolate and citric notes, and a light acidity. Cupping notes: Chocolate, nutty, fruity aftertaste; light acidity, sweet, full body. Clean and balanced.",4,7,4,5,5,6,2,4,4,1,3,1,1,1,"Brazil’s Oberon coffee is a pure Cerrado blend that perfectly captures what the region is known for in one sip––blissful temperatures averaging 68 degrees Fahrenheit, altitudes reaching just below 1,250, and an average rainfall of 1,600 millimeters ––a haven for healthy coffee trees. The Cerrado land houses just over 140,000 hectares of coffee production that vary in size from 100 hectares to 3,000––all dedicated to consistent cup quality. Cupping notes: Chocolate, nutty, fruity aftertaste; light acidity, sweet, full body. Clean and balanced. Try before you stock up with a 1/2lb sample!!",,,,,,,
CBC Blend: Ferdelance,https://www.coffeebeancorral.com/www/Products/Ferdelance-Espresso-Blend__FERDELANCE.aspx,$10.65,FERDELANCE,4.5,,,,CBC Blend,,,,,,No,No,No,No,"Roast it lighter and enjoy a creamy chocolate espresso drink with a dominant nutty taste, or take it to the limit and get the bittersweet end of the spectrum. Very versatile and quite complex.",4,6,5,6,5,5,1,4,4,4,1,1,1,1,"Created by Russ as the perfect single shot, our own Ferdelance blend is one of our favorites for espresso––plenty of crema and lots of nutty richness. While its namesake isn’t precisely straight from Central America’s deadly viper, this mix is still high octane, and it packs a potent, complex bite! It's a potent blend (roasted dark), but also sweet when roasted lighter, and develops a thick crema. Deep and rich-flavored with heavy body and the balance you might expect from a blend so long in development. Roast it lighter and enjoy a creamy chocolate espresso drink with a dominant nutty taste, or take it to the limit and get the bittersweet end of the spectrum. Very versatile and quite complex.Try before you stock up with a 1/2 pound sample!",,,,,,,
CBC Blend: Four Horseman,https://www.coffeebeancorral.com/product/Four-Horsemen-CBC-Blend__FOURBLEND.aspx,$10.40,FOURBLEND,5.0,,,,CBC Blend,,,,,,No,No,No,No,,5,5,5,5,5,4,3,4,1,1,4,1,1,2,,,,,,,,
CBC Blend: High Octane Robusta Blend,https://www.coffeebeancorral.com/www/Products/High-Octane-Blend__HIGHOCTANE.aspx,$11.35,OCTANEBLEND,4.5,,,,CBC Blend,,,,,,No,No,No,No,"Rich, low acidity with notes of dark chocolate, vanilla, and cinnamon with a medium to heavy body and bold, earthy flavors with a big caffeine jolt.",2,4,5,4,6,2,4,4,1,1,1,1,1,4,"Rich, low acidity with notes of dark chocolate, vanilla, and cinnamon with a medium to heavy body and bold, earthy flavors with a big caffeine jolt.",,,,,,,
CBC Blend: Highland,https://www.coffeebeancorral.com/product/Highlands-CBC-Blend__HIGHBLEND.aspx,$9.50,HIGHBLEND,5.0,,,,CBC Blend,,,,,,No,No,No,No,,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
CBC Blend: Onobeano's Latte,https://www.coffeebeancorral.com/www/Products/Onobeanos-Latte-Blend__LATTE.aspx,$11.05,Latte,4.5,,,,CBC Blend,,,,,,No,No,No,No,,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,
"Colombia: Decaf EA, Cauca",https://www.coffeebeancorral.com/product/Colombia-Decaf-EA-Process__COLDECAFEAP.aspx,$9.15,COLDECAFEAP,5.0,,Colombia,Cauca,Decaffeinated,Washed,"Colombia, Caturra, Castillo","1,500 – 2,100 masl",April - July,,No,No,No,Yes,"Candy-like, with notes of tropical fruit and citrus; creamy body",4,5,6,3,4,7,1,2,4,3,4,1,1,1,"Processed with ethyl acetate, (a sweet-smelling organic compound derived from sugar cane created during fermentation) this bean originates from the Andean region’s only decaffeination plant, Descafecol. The plant relies on pure water from the Navado el Ris (a snow-capped volcano resting on the border of Caldas and Tolima) and natural ethyl acetate from sugar cane plants in Palmira, Colombia. From the Trilladora Andes Mill, the coffee’s complete process involves machine-pulping, 6-8 hour fermentation, rinsing and patio-drying for 12 hours, and a final 6-hour drying. The Decaffeination process starts with steaming the green coffee beans at low pressure in order to remove their silver skins. Then, the beans are swelled and softened with hot water, which starts the caffeine's hydrolysis process––water causes the caffeine to break down and separate from the other compounds. In the next step, the ethyl acetate circulates through the beans until at least 97% of the caffeine is removed. Saturated steam is applied at low pressure to remove the ethyl acetate in the final processing stages. Coffee beans are then cooled to ambient temperature, surrounded by fans, and polished with carnauba wax, protecting the beans from humidity. The coffee beans are vacuum-dried in drums to ensure water removal and bring moisture levels to less than 12%. Cupping notes: Candy-like, with notes of tropical fruit and citrus; creamy body. Try before you stock up with a 1/2lb sample!!",,,,,,,
"Colombia: El Gato Supremo, Bucaramanga",https://www.coffeebeancorral.com/product/Colombia-Bucaramanga-El-Gato-Supremo__COLBUC.aspx,$9.05,COLBUC,4.5,,Colombia,Bucaramanga,Conventional,Washed,"Castillo, Colombia, Caturra, Typica","1,000 - 2,000 masl",October - December,,No,No,No,No,"Well-balanced with sweet aromas of brown sugar and maple syrup. Smooth, silky medium body carries bright, crisp winey acidity, complemented by citrus, lemon, orange, red fruit, nectarine, and dark chocolate notes. A clean, lingering finish with sweet, rich complexity.",6,5,5,4,6,6,1,3,1,2,4,2,3,1,"El Gato Supremo is grown through the Santander Department, which is widely known for its natural, shade-grown coffees. These beans are cultivated in rich forests where volcanic soils, idyllic microclimates, and average temperatures between 68 and 71 degrees Fahrenheit are ideal for growing specialty-grade arabica.
 

A proper 17/18 screen Colombia Supremo green coffee, this bean is handpicked, washed, and milled by the Northeastern Colombian Coffee Cooperative (Cooperativa Cafetera Del Nororiente Colombiano).
 
Cupping Notes: Well-balanced with sweet aromas of brown sugar and maple syrup. Smooth, silky medium body carries bright, crisp winey acidity, complemented by citrus, lemon, orange, red fruit, nectarine, and dark chocolate notes. A clean, lingering finish with sweet, rich complexity.

Try before you stock up with a 1/2 pound sample!",,,,,,,
"Colombia: Organic Sierra Nevada FTO, Santa Marta",https://www.coffeebeancorral.com/www/Products/Colombia-Organic-FT-Sierra-Nevada__COLOSIERNEVA.aspx,$11.35,COLOSIERNEVA,4.5,,Colombia,Cesar and Magdalena,Organic,Washed,"Castillo, Caturra, Colombia, Typica","1,200-1,500 masl",September–December,OrganicFair Trade,Yes,Yes,No,No,"Sweet brown sugar aroma, exotic well balanced flavor, clean sweet lingering rich aftertaste and rich smooth silky medium to full body with bright vibrant acidity, orange, raspberry, grapefruit, peach and chocolate notes.",6,5,4,4,6,5,1,2,1,4,4,4,1,1,"This Colombian bean is produced by the TAYRONACA Association, a non-profit organization with over 300 specialty cocoa and coffee producers, half of which are the producers that contribute to Colombia Sierra Nevada TAYRONACA Fairtrade Organic. The TAYRONACA Association has partnered with SENA (National Apprenticeship Service) to provide courses on agricultural practices, phytosanitary control and business management. They are also invested in creating sustainable economic development which maximizes resources, increases productivity and quality. The coffee is handpicked to ensure uniformity then the cherry is machine pulped and undergoes different drying methods: 50% is sundried, 20% on raised beds, and 30% is dried mechanically.

Cupping notes: Sweet brown sugar aroma, exotic well balanced flavor, clean sweet lingering rich aftertaste and rich smooth silky medium to full body with bright vibrant acidity, orange, raspberry, grapefruit, peach and chocolate notes. 

Try before you stock up with a 1/2 pound sample!!",,,,,,,
