producer_name,farm_or_station,country,region,altitude_masl,credential_type,credential_detail,signature_varieties,signature_processes,flavor_profile,roasters_who_source,direct_sales_url,tier,notes
Benjamin Paz,Finca La Salsa,Honduras,Santa Bárbara,1680-1730,ACE Legend of Excellence,5x CoE winner; 1st place 2022 & 2024,Geisha; SL28; Orange Bourbon; Yellow Typica; K7,Washed,Jasmine; watermelon; lemongrass,Ilustre Specialty Coffee; Third Gen Coffee,https://allianceforcoffeeexcellence.org/legends/,Legend,Mentored 7 producers who reached CoE auction
Juan Diego De La Cerda,Finca El Socorro,Guatemala,Palencia,1850,ACE Legend of Excellence,13x CoE winner; third-generation since 1980,Geisha; Pacamara; Laurina,Washed (hot water fermentation),Fig; orange; raisins; caramel; honey; peach,Orsir International; Valverde Industries,https://allianceforcoffeeexcellence.org/team/diego-de-la-cerda/,Legend,700ha; 400ha preserved forest; hot water fermentation preserves sugars/density
Ernesto Menéndez,Finca Las Brumas,El Salvador,Apaneca-Ilamatepec,,ACE Legend of Excellence,5x CoE winner (1st 2008;2010;2012;2024); coffees used by WBC winners Alejandro Méndez (2011) & Dale Harris (2017),SL28; Pacamara,Anaerobic; washed,Chocolate; liqueur; tropical fruits; long aftertaste,Savaya Coffee; Elixr Coffee; Has Bean,https://allianceforcoffeeexcellence.org/legends/,Legend,Third-generation; 2024 1st place experimental anaerobic SL28
Luiz Paulo Dias Pereira Filho,CarmoCoffees / Sítio Senhor Niquinho / Fazenda Santuário Sul,Brazil,Carmo de Minas; Mantiqueira de Minas,,ACE Legend of Excellence,23x CoE winner; first Brazilian Legend of Excellence; peak score 95.85 (2005),Yellow Bourbon,Natural,Sugar cane; honey; yellow fruits; spices,Beansip Limited; Little City Coffee Roasters,,Legend,Fourth-generation; co-founded CarmoCoffees supporting hundreds of producers
Manuel Antonio Barrantes,Cafetalera Herbazú / Finca Leoncio,Costa Rica,Lourdes de Naranjo,,ACE Legend of Excellence,10x CoE winner; pioneer micro-mill model,San Roque,Washed,Red grapes; vanilla; lime; stone fruits; sugar cane,CHEONIL FNC; MARISSTELLA COFFEE,,Legend,Inspired 200+ micro-mills across Costa Rica; Blue Flag Award
Olman Valladarez,Cafetalera Buenos Aires / Finca Los Alpes,Nicaragua,Nueva Segovia,,ACE Legend of Excellence,14x CoE winner; 1st place 2023 & 2024; world's largest Maracaturra producer,Geisha; Maracaturra,Natural,Jasmine; tartaric grapes; peach; papaya; mango; strawberries,Angelino's; Savaya Coffee,,Legend,10 farms; medical brigades; childcare shelter; anti-child-labor programs
Aguirre Family,Finca El Injerto,Guatemala,Huehuetenango,1500-1920,CoE Repeat Winner,8x 1st place Guatemala CoE; 13 top-five finishes; most decorated farm in CoE history,Pacamara; Geisha; Bourbon; Maragogype,Washed; natural; anaerobic,Brothy; dark fruit; lychee; brown sugar; umami,Stumptown (since 2003); Bird Rock; Elixr; Paradise Roasters; Great Circle,fincaelinjerto.com,CoE Legend,Carbon Neutral certified; own PCA through ACE; sells direct
Peterson Family,Hacienda La Esmeralda,Panama,Boquete; Volcán Barú,1650+,Best of Panama,Swept all 3 major BoP 2025 categories; record 98pts Washed Geisha; 1st place 2004-07;09-10;13;15;17-19;25,Geisha; Laurina,Washed; natural; anaerobic,Jasmine; stone fruit; bergamot; white peach; tea-like,Bean & Bean; PT's Coffee; Corvus; Rosso,https://haciendaesmeralda.com/,CoE Legend,Put Geisha on the map 2004; established 1967
Ovalle/Vides Family,Finca La Bolsa,Guatemala,Huehuetenango,,CoE Repeat Winner,Multiple CoE wins incl. 2025 NW,Pacamara,Anaerobic Natural,Rich fruit complexity,Chuck's Roast,,CoE Repeat,Years of systematic processing experimentation
Jamison Savage,Finca Deborah / Iris Estate / Savage Coffees,Panama,Volcán; Chiriquí,1700-1950,WBC Producer,Grand slam 2024 WBC (top 3 all used his coffee); WBC 2016 winner Berg Wu; 10+ national Brewers Cup champions; 2025 US Brewers Cup winner,Geisha; SL-28; Sidra; Pacamara; Bourbon; African Heirloom; Yemen Mocca,Nirvana (N2 macerated natural); Ellipse (N2 macerated washed); Terroir (classic washed); carbonic maceration,Extreme clarity; terroir florals; biodynamic; solar-powered,Savage Coffees (direct); Project Origin; Archers Coffee; Newbery St.; Dune; Formative,savagecoffees.com,WBC Elite,Pioneer carbonic maceration; 2022 harvest pre-sold; cafe in St. Pete FL
Joseph Brodsky,Ninety Plus Gesha Estates / Barú Estates,Panama,Volcán; Chiriquí,1500-1850,WBC Producer,5 World Brewers Cup Championships won with Ninety Plus coffees in 6 years; pioneered thermolic processing; Ethiopian heirlooms under forest canopy at scale,Geisha; 30+ Ethiopian heirloom varieties,Thermolic; temperature-controlled fermentation; Yuzo (coffee leaf fermentation),Lychee/oolong (Lycello); plum/chocolate (Kambera); sake/citrus (Yuzo),Coffea Circulor; Pirates of Coffee; Gardelli Coffee,ninetypluscoffee.com,WBC Elite,200ha reforested former cattle land; first to grow Ethiopian heirlooms under full canopy in Panama
Wilton Benitez,Granja Paraiso 92 / Finca La Macarena,Colombia,Multiple,,WBC Producer,Coffees used at WBC regularly; pioneer thermal shock + double-anaerobic + UV/ozone,Pink Bourbon; Geisha; Sidra,Thermal shock; double-anaerobic; UV/ozone sterilization,Berry-forward; bubblegum; strawberry blossom; syrupy,JBC (primary US); modcup; 94 Celcius; Standout; MAME,,WBC Elite,Chemical engineer; Pink Bourbon via JBC most accessible
Sebastián Ramírez,Finca El Placer / El Placer Farms,Colombia,Quindío & Huila,1750,WBC Producer,6th place WBC 2024 (Ian Kissick); 2nd UK championship (Haruka Nango); fourth-generation,Geisha; Pink Bourbon; Caturra,White honey; carbonic maceration; anaerobic w/ proprietary yeast,Clean; elegant; Panama-Gesha-like; white peach; champagne; lychee,Formative (Ireland); Standout (Sweden); Loyal Coffee; Pr_cess; Unblended,,WBC Elite,Extreme consistency from standardized processing; mentors young producers
Edwin Noreña,Finca Campo Hermoso / 'El Alquimista',Colombia,Circasia; Quindío,,WBC Producer / CoE Judge,Q-Grader; Q-Processor; head judge Colombian CoE; creator Santuario Project,Pink Bourbon; Yellow Bourbon; Sidra; Geisha; Wush Wush; Mokka,Double carbonic + mossto back-slopping; co-ferments (hops; lychee; chili),Two tracks: clean competition-grade OR wild co-ferments; transparent,Royal Coffee (Crown Jewel); Driftaway; Col-Spirit; Superthing; Loyal,https://www.thecoffeequest.com/edwin-norena-campo-hermoso/,WBC Elite,Agroindustrial engineer + biotechnology; mossto = winemaking must adapted to coffee
Diego Bermudez,Finca El Paraíso / Hachi Coffee Project,Colombia,Huila,,CoE / Controversial,Highest auction price CoE Colombia 2018; BoP disqualification controversy,Sidra,Double anaerobic; thermal shock,Boundary-pushing,Various,https://allianceforcoffeeexcellence.org/directory/89-76-4/,WBC/CoE,Controversial — understand debates around methods
,Finca El Diviso,Colombia,Huila,,WBC Producer,2022 WBC winner (Anthony Douglas; Sidra); 2024 champion (Mikael Jasin; Aji variety),Sidra; Aji; Geisha,Various,Competition-level,Various,,WBC Elite,Most favored farm by recent WBC finalists
Herrera Family,Café Granja La Esperanza,Colombia,Multiple (Cerro Azul; Las Margaritas),,WBC Producer,2023 WBrC winner (Carlos Medina; natural Sidra); multiple national champions,Sidra; Geisha; Sudan Rume; Eugenioides; Laurina,Natural; washed; experimental,Extremely diverse portfolio,Various,cafegranjalaesperanza.com,WBC Elite,Multi-generational; free worldwide shipping direct
,Inmaculada Coffee Farms,Colombia,,,WBC Producer,2021 WBC Champion Diego Campos used Eugenioides; top 3 all used Eugenioides that year,Coffea eugenioides; Geisha,,Naturally very sweet; tea-like; low caffeine,Various,,WBC Elite,Sparked global interest in eugenioides species
,La Palma y El Tucán,Colombia,,,WBC Producer,Coffees won WBC 2019,Sidra; experimental,Various,Competition-level,Various,,WBC Elite,
Janson Family,Janson Family Estates,Panama,Volcán,,Best of Panama,BoP winners; 2023 WBC champion Boram Um used their Geisha,Geisha,Washed; natural,Competition-grade Geisha,Bean & Bean,https://jansoncoffee.com/,BoP Winner,
MAVCOFFEE,Finca La Pacaya,El Salvador,Apaneca-Ilamatepec,,CoE Winner,Multiple COE awards; 1st place 2025 natural Geisha,Geisha (from Panama seeds acquired 2013),Natural,,Various,,CoE Winner,Seeds from Panama 2013; high altitude Apaneca
Faris Sheibani,Qima Coffee,Yemen,Multiple regions,,Best of Yemen Organizer,Organizes Best of Yemen PCA w/ ACE since 2019; discovered Yemenia genetic group; 2025 record $1878/kg,Yemenia; traditional Yemeni,Natural; Alchemy fermentation; Carbonic Honey,Ancient terroir; driest coffee region in world,Via auction to roasters globally,qimacoffee.com,Yemen Elite,Yemenia = most significant arabica finding since 1700s; 42% of 2025 lots from women farmers
Mokhtar Alkhanshali,Al-Khanshali Estates / Port of Mokha,Yemen,West Haraz & others,,Yemen Pioneer,Subject of 'The Monk of Mokha'; revitalizing Yemen specialty trade,Traditional Yemeni,Natural,Fruit and floral enveloped in crisp chocolate,Port of Mokha (direct roaster),portofmokha.com,Yemen Elite,Escaped Yemen during civil war; 8-year boutique estate project
Yahya Al Faqeeh,,Yemen,Al Jidan; Sana'a,,Best of Yemen 2025 Winner,1st place BoY 2025; 18th to 1st in one year,Yemenia,Natural,Record $1878/kg lot,Black Sip Roastery (auction winner),,Yemen Rising,Demonstrates rapid quality improvement
Daye Bensa (Dukamo Brothers),71 washing stations,Ethiopia,Sidama; Bensa,2000+,CoE Ethiopia Repeat,6x top-10 CoE Ethiopia 2020-22; 2nd place 2022,Ethiopian heirloom; JARC,Natural; washed; anaerobic; honey,Peach; blueberry; lychee; jasmine; Hamasho natural resembles Geisha,Coffee Bros; Idle Hands; widely sourced,,Ethiopia Elite,Founded 1996; 71 stations; also roast as Buncho/Dukamo Coffee
Adam Overton & Rachel Samuel,Gesha Village Coffee Estate,Ethiopia,West Omo; Bench Maji zone,1900-2100,Ethiopia Pioneer,Record price for African coffee ($254/lb at 6th auction); 471ha farm growing Geisha at origin; coffees used by barista competitors globally,Geisha 1931; Gori Gesha; Illubabor Forest,Natural; washed; semi-anaerobic,Intense florals; bergamot; stone fruit; cleanest naturals,Black & White; Gardelli; Crankhouse; Bean Bros; Ministry of Coffee,geshavillage.com,Ethiopia Elite,Co-founded with Willem Boot; seeds from Gori Gesha forest; 8 terroir blocks; own annual auction
Tamiru Tadesse Tesema,,Ethiopia,Bensa; Sidama,,CoE Ethiopia Winner,1st & 5th place CoE Ethiopia 2021 (anaerobic naturals),,Anaerobic natural,Fruit-forward,Limited access,https://alo-coffee.com/about/,Ethiopia CoE,Smallholder pioneer anaerobic in Bensa
Leikun Zegeye Dagnachew,,Ethiopia,,,CoE Ethiopia Winner,1st place 2020; 25th 2021; 20th 2024,,,,Limited access,,Ethiopia CoE,Repeat performer
Boledu Coffee (Mebrahtu Aynalem),Halo Beriti Washing Station,Ethiopia,Gedeb; Yirgacheffe,2100-2300,CoE Ethiopia Winner,Multiple CoE awards; Golden Bean Australia,Ethiopian heirloom,Washed; natural; honey; anaerobic,Dark chocolate; grapefruit; winey acidity; berry,Idle Hands (longstanding); Trabocca; Groundwire,,Ethiopia Elite,750 smallholder producers; experimental + traditional
Kata Muduga Union,Nano Challa; Duromina; Geta Bore coops,Ethiopia,Western Ethiopia (Jimma/Agaro),,Perennial Specialty Favorite,Consistently sourced by Sweet Maria's 15+ years,Ethiopian heirloom,Washed,Clean; sweet; balanced; floral; fruit,Sweet Maria's; various,,Ethiopia Notable,Cooperative model; Western Ethiopian profile
,Chelbessa / Goro / Rogicha / Korate stations,Ethiopia,Guji; Hambela Wamena,,Perennial Specialty Favorite,Consistently top-scored Ethiopian offerings,Ethiopian heirloom,Natural; washed,Berry; stone fruit; floral Guji profiles,Sweet Maria's; widely sourced,,Ethiopia Notable,Hambela consistently produces top lots
Neel & Kavita Vohora,Edelweiss Estate / Gaia Farm / Finagro,Tanzania,Karatu; Ngorongoro Crater rim,,Competition Rising,Coffee Review Top 50 2025 (#5 Natural Gesha); first Gesha harvests stunning; competition coffees,Geisha; traditional Tanzanian; SL28,Washed; natural; experimental,Rose; jasmine; black tea; peach; cherry; grape; restrained natural processing,Royal Coffee (Crown Jewel); Manhattan Coffee Roasters; Heady Cup; Burman Coffee,,Tanzania Elite,1000 acres on Ngorongoro caldera; Gesha from Esmeralda seed stock; 3rd-generation Tanzanian family
Ben & Kristy Carlson,Long Miles Coffee (Bukeye; Heza; Ninga stations),Burundi,Kayanza Province,1960+,ACE PCA / CoE Repeat,Microlots consistently top-10 CoE Burundi; own ACE Private Collection auction,Bourbon,Washed (traditional Burundian); natural; honey,Clean; bright; complex; often compared to Nyeri Kenya,Passenger Coffee (Heza partnership); Cafe Kreyol; Four Letter Word; Collaborative Coffee Source,longmilescoffee.com,Burundi Elite,Founded 2011; 7500+ farmers on 12 hills; Coffee Scout program; pioneered honey process in Burundi; expanding to Uganda & Kenya
,Rubagabaga,Burundi,Kayanza,,CoE Burundi Winner,1st place CoE Burundi 2018 (91.43),Bourbon,Washed,Bright; complex,Via Greenco/auction,,Burundi CoE,Kayanza province washing station
,Munkaze Coffee,Burundi,,,CoE Burundi Winner,2nd place CoE Burundi 2018 (91.14),Bourbon,Washed,,Via auction,,Burundi CoE,
Twumba Coffee,Twumba Washing Station,Rwanda,Western Province; Karongi,,CoE Rwanda Winner,1st place CoE Rwanda 2018 (90.53); first-time entrant,Bourbon,Washed,Bright; complex; compared to Nyeri/Kirinyaga Kenya,Difference Coffee,,Rwanda CoE,First-time entrant winning 1st place
Mayogi Women's Cooperative,,Rwanda,Northern Province; Gicumbi,,CoE Rwanda Winner,2nd place CoE Rwanda 2018 (90.06); Presidential Award,Bourbon,Washed,,Via auction,,Rwanda CoE,Women's cooperative; just 4 years old at time of win
Raphael Karasi,NOVA Coffee,Rwanda,Gicumbi,,Best of Rwanda Winner,1st place Best of Rwanda 2024 (91.86); 81-year-old farmer,,,,,,Rwanda Notable,Oldest winner in recent memory
,Gitesi Cooperative,Rwanda,Western Province,,CoE Rwanda Winner,1st place CoE Rwanda (earlier edition; 90.19),,Washed,,Various,,Rwanda CoE,
Epiphanie,BUF Café,Rwanda,,,CoE Rwanda Winner,7th place CoE Rwanda (88.22),,,,,,Rwanda CoE,Woman producer
,Ndaroini Farmers Company,Kenya,Nyeri,,Kenya Pioneer,Broke from cooperative model; farmer-owned public company; best-paid growers in Kenya; doubled production in 12 months,SL28; SL34,Washed,Blackcurrant; stone fruit; quintessential Nyeri bright acidity,Clandestino Coffee; via Rockbern Coffee (Peter Muchiri),,Kenya Elite,Kenyan Coffee Revolution model; farmers own shares; 1400 smallholders
Rumukia FCS,Thunguri; Kiawamururu; Gatura factories,Kenya,Nyeri; Kirinyaga,,Kenya Quality Leader,One of Kenya's best-known societies for quality; household names among specialty roasters,SL28; SL34,Washed; anaerobic natural (new),Bright; complex; blackcurrant; berry; citrus,Black & White; Royal Coffee; Sweet Maria's; Reframe,,Kenya Elite,700+ farmers per factory; now experimenting with anaerobic (rare for Kenya)
Spike Farm,,Kenya,Kiambu,,Kenya Notable,Sweet Maria's top-rated 2024; multiple AA/AB/Peaberry lots,SL28; SL34,Washed,Muscat grape; tamarind; cranberry; five spice; clove,Sweet Maria's,,Kenya Notable,Outstanding cupping scores; chocolate-berry-spice profile
,Tekangu (Karagoto; Tegu; Ngunguru),Kenya,Nyeri,,Kenya Quality,Consistently sourced by specialty roasters; Nyeri district excellence,SL28; SL34,Washed,Classic Nyeri bright acidity,Sweet Maria's; various,,Kenya Notable,Tekangu = combined name of 3 factories
Rodriguez Family (Pedro; Daniela; Pedro Pablo),Fincas Los Rodriguez / Agricafe,Bolivia,Caranavi & Samaipata,,ACE PCA,3x ACE Private Collection Auctions (2022; 2023; 2025); record Bolivian coffee price ($350/kg at Dubai auction),Geisha; SL28; SL34; Batian; Java; Pacamara; Elefante,Washed; natural; honey; experimental,Unique Bolivian terroir; lychee; jasmine; turbinado sugar (Geisha); toffee; dark chocolate (traditional),Bean & Bean; Madcap Coffee (since founding); Coffee Bros; Market Lane,https://agricafebolivia.com/,Bolivia Elite,12 farms under Agricafe; Sol de la Mañana mentorship program; highest-altitude lowest-latitude coffees
Chartchai Saetao,Discovery Coffee Farm,Thailand,,1400-1600,CoE Thailand Winner,CoE Thailand winner; premium Gesha & Java under natural methods,Geisha; Java,Natural,Clean; origin-true,,,Thailand CoE,CoE Thailand pioneer
Fu-Sen Tseng,Royal Bean Geisha Estate,Taiwan,Alishan,,CoE Taiwan Winner,Multiple top placements CoE Taiwan,Geisha,Washed,Floral aromatics; crystalline structure,,,Taiwan CoE,Rigorous approach; tea-country precision
Bao-Si Huang,Melastoma,Taiwan,Chiayi highlands,1300,CoE Taiwan Winner,CoE Taiwan; long-time tea farmer applying tea discipline to Gesha,Geisha,Honey,Sweetness; florals; refined,,,Taiwan CoE,Tea-like discipline to coffee cultivation
Wildan Mustofa & Fikri Mustofa,Java Frinsa Estate / Frinsa Collective,Indonesia,West Java (Bandung Highlands; Weninggalih; Pangalengan; Malabar),1400+,CoE Indonesia / Competition,#17 CoE Indonesia 2023 (87.59); highest score Indonesia Brewers Cup 2018; pioneered fully-washed & experimental fermentation in Indonesia,Ateng Super; Sigararutang; Typica; various,Fully washed; lactic fermentation; saccharomyces fermentation; anaerobic; natural,Cocoa; lemon curd; kumquat; brown sugar; lavender; remarkably clean for Indonesian coffee,Nordic Approach (key partner since 2018); Nero Scuro; Rogue Wave; TYPICA; Burman Coffee; Across Indonesian Seas,https://javafrinsa.com/,Indonesia Elite,Founded 2010 as environmental project (reforestation after landslides); 200 contract farmers in Frinsa Collective; own wet mill + dry mill + warehouse; son Fikri stepping into leadership
Dilen Ali Gogo,Pantan Musara,Indonesia,Aceh; Central Aceh,,CoE Indonesia 1st Place,1st place inaugural Indonesia CoE 2021 (89.28); $80/lb at auction — top price,Ateng; Gayo 1; P88,Honey,Sweet; complex; showcased diversity of Aceh terroir,Wataru/Yamatoya Coffee (Japan — bought entire lot),,Indonesia CoE,Historic: first-ever Indonesia CoE winner; represented by Ribang Gayo Musara Cooperative
Asman Arianto,Ribang Gayo Musara Cooperative / Asman Gayo Mill,Indonesia,Aceh; Pantan Musara; Central Aceh,,CoE Indonesia Repeat,1st and 3rd place CoE Indonesia 2021; CoE 2022 winner; founded cooperative 2018; 350+ farmers,Abyssinia; Ateng; Gayo 1; Gayo 2; Timtim,Washed; honey; natural (NOT traditional wet-hulled),Black grape; nutmeg; graham cracker; plum; bergamot (per JBC); brown sugar; honeydew; citrus (per Coava),JBC Coffee Roasters; Coava Coffee; Idle Hands; Burman Coffee,,Indonesia Elite,Pioneer: broke from wet-hulled tradition to produce washed/honey/natural; 350+ member farmers; transformed Pantan Musara into CoE-winning region
Ita Rosita,Ibun Ita,Indonesia,West Java (Jawa Barat),,CoE Indonesia Winner,2nd place inaugural Indonesia CoE 2021,Sigararutang,Natural,,Via CoE auction,,Indonesia CoE,Second highest score in first-ever Indonesia CoE
Hendra,,Indonesia,Sumatra,,CoE Indonesia Winner,7th place CoE Indonesia 2021,,,,,,Indonesia CoE,Referenced by specialty importers
Bagus Syaputra,,Indonesia,Pantan Musara; Central Aceh,,CoE Indonesia Winner,CoE Indonesia winner (#18); member Ribang Gayo Musara Cooperative,,,Terrifically sweet; brown spices; florals,Idle Hands Roasting (direct CoE purchase),,Indonesia CoE,Moved from South Sumatra to Aceh for better coffee opportunities; 2ha farm
José "Pocho" Gallardo,Finca Nuguo / Café Gallardo,Panama,Jurutungo; Renacimiento; Chiriquí,1750-1980,WBC/WBrC Producer; Best of Panama,BoP 2021 1st natural ($2560/lb record); BoP 2024 3rd washed (94.63pts); WBrC 2022; WBrC 2024; WBC 2025 (Jason Loo 4th),Geisha; Caturra,Washed (wooden box fermentation); natural; natural fermented; exotic/innovation,Jasmine; lychee; raspberry; orange blossom; grapefruit; sugarcane; tea-like,Counter Culture; Hydrangea; Caldera; Seek.Coffee; Standout; The Espresso Lab,https://gallardo.cafe/,WBC Elite,PhD civil engineer; bordering La Amistad Intl Park; traded via Brisa & Tierra
Wilford Lamastus,Elida Estate / Lamastus Family Estates,Panama,Alto Quiel; Boquete; Chiriquí,1700-1950,WBC Producer; Best of Panama,5x BoP winner; won both washed & natural 2018-19 (unprecedented); WBC 2025 (Ben Put 3rd); highest coffee farm in Panama; four generations since 1918,Catuai (80%); Geisha (10%); Typica (10%),Washed; natural; ASD (Anaerobic Slow Dry); rested 60-100 days,Bergamot; jasmine; melon; peach; stone fruit; black tea; cocoa nib,Klatch; Proud Mary; Dune; Rossco; Hydrangea; Pirates of Coffee; Archers,https://lamastusfamilyestates.com/,WBC Elite,Family handles processing and export directly; also roasts own coffees
Mauricio Shattah,Finca La Negrita,Colombia,Tolima (Combeima River canyon; Tolima Volcano),1800-2100,WBC Producer,WBC 2025 (Christopher Sahyoun Hoff 6th); consistently supplies WBC competitors; pioneer nitrogen-flushed anaerobic,Wush Wush; Geisha (Red & Yellow); Mokka; Maragogype; Laurina; Bourbon; SL28,Nitrogen-flushed anaerobic; washed; honey; natural; enzyme injection; 2-stage natural,Blueberry; raisin; pineapple; rockmelon; honeycomb; jasmine; rose; complex tropical,Onyx; Manhattan; Hydrangea; Little Waves; Proud Mary; Clifton; Merit; The Espresso Lab,,WBC Elite,Exported via Caravela; 8+ distinct processing methods; volcanic soil
Joel Villalta,Flying Pumas,Panama,Volcán; Chiriquí,1750-1900,WBC Producer,WBC 2025 (Simon SunLei 2nd place); BoP 2025 entry,Geisha (80%+); SL-28; Pacas; Pacamara; Typica; Bourbon Naranja; Sidra; ET47,Natural; controlled fermentation (precise temp & pH); solar drying,Floral; tea-like; coffee blossom; clementine; apricot; honey,Onyx; The Espresso Lab; Good Cup; Red Meow; Archers,https://www.flyingpumas.com/,WBC Elite,Ridge between Pacific & Atlantic; bordering La Amistad; distributed via Equation Coffee
Jhonatan Gasca & Alejandra Muñoz,Finca Zarza,Colombia,Bruselas; Pitalito; Huila,1750-1925,WBC Producer,WBC 2025 champion Jack Simpson used Papayo (milk course); fourth-generation family,Papayo; Pacamara; Geisha; Pink Bourbon,Anaerobic natural; thermal shock washed; TFF natural; experimental fermentation,Maraschino cherry; violet; green toffee apple; dark chocolate; clean cup,Axil (Australia); Black & White; ST. ALi; Drip Roasters; LiLo; Blommers; Fidelity,,WBC Elite,Papayo = rare variety (Ethiopian Landrace relative); distributed via Touton Specialty
Efren Echeverri,Equation Coffee Smallholder Project,Colombia,Palestina; Huila (Sinai),1650,WBC Producer,WBC 2025 (Simon SunLei 2nd place; milk course); part of LaREB producer network,Pink Bourbon; Yellow Bourbon; Caturra; Geisha,Anaerobic co-fermentation (170 hrs w/ coconut must & wine yeasts); honey w/ fruit-must inoculation; natural,Pineapple; apricot; strawberry; peach; plum; cranberry; tropical acidity; panela sweetness,Klatch; La Cabra; Gabriel (Australia); TREVO; Utopian; Bean & Bean; Driftaway,https://equationcoffee.com/,WBC Elite,Distributed through Equation Coffee (Bogotá); member LaREB direct trade network
